"ID_TRAPPOLA";"ID_cattura";"ALBA";"sessione";"occasione";"chip";"ricattura";"pelo";"peso..g.";"sex";"eta";"statoripr";"NOTE";"DOY";"Data_R";"Anno";"SESSIONE";"data.attivazione";"occasione.attivazione";"ED50.Coord.X";"ED50.Coord.Y";"WGS84.Coord.Long";"WGS84.Coord.Lat";"Diametro.roccia.1..cm.";"Diametro.roccia.2..cm.";"Diametro.roccia.3..cm.";"alt_m";"aspect_deg";"slope_degr";"X..COP..VEG..2015";"X..COP..VEG..2018";"n_species";"dominant";"distanza.trappole..cm...da.75a1.";"angolo.trappole..gradi.AZ..da75a1.";"Cop_Veg_2015_ottavi";"Cop_Veg_2018_ottavi"
"10";19;"A";1;10;NA;"R";"SI 8";31;"F";"A";"NR";NA;248;2014-09-05;"2014";1;"14/07/2015";1;367456;5048264;"7.300.214.843.071.250";"45.573.488.459.293.300";58;34;41;2784,308;343;0;35;37,5;20;"Graminacee";833;298;2,8;3
"10";14;"A";1;12;"1317018";"R";"E";34;"F";"A";"R";NA;201;2015-07-20;"2015";1;"14/07/2015";1;367456;5048264;"7.300.214.843.071.250";"45.573.488.459.293.300";58;34;41;2784,308;343;0;35;37,5;20;"Graminacee";833;298;2,8;3
"10";33;"A";2;3;NA;"N";"Eg/Fg";31;"M";"A";"NR";NA;242;2016-08-29;"2016";1;"14/07/2015";1;367456;5048264;"7.300.214.843.071.250";"45.573.488.459.293.300";58;34;41;2784,308;343;0;35;37,5;20;"Graminacee";833;298;2,8;3
"11";28;"A";1;13;NA;"R?";"D/Fb";27;"M";"A";"NR";NA;239;2017-08-27;"2017";1;"14/07/2015";1;367461;5048242;"7.300.284.868.935.770";"4.557.329.147.910.890";151;36;55;2788,967;328;0;5;0;7;"Oxyria digyna";1166;304;0,4;0
"11";3;"A";1;2;NA;"N ";"SI e";41;"M";"A";"R";NA;244;2014-09-01;"2014";1;"14/07/2015";1;367461;5048242;"7.300.284.868.935.770";"4.557.329.147.910.890";151;36;55;2788,967;328;0;5;0;7;"Oxyria digyna";1166;304;0,4;0
"11";60;"A";2;11;NA;"N";"Eg/Fb";25;"F";"G";"NR";NA;246;2016-09-02;"2016";1;"14/07/2015";1;367461;5048242;"7.300.284.868.935.770";"4.557.329.147.910.890";151;36;55;2788,967;328;0;5;0;7;"Oxyria digyna";1166;304;0,4;0
"11";1;"T";1;1;"1315302";"N";NA;36;"F";"A";"NR";NA;243;2014-08-31;"2014";1;"14/07/2015";1;367461;5048242;"7.300.284.868.935.770";"4.557.329.147.910.890";151;36;55;2788,967;328;0;5;0;7;"Oxyria digyna";1166;304;0,4;0
"11";52;"A";2;2;"1313807";"N";NA;35;"F";"A";"R";NA;240;2015-08-28;"2015";1;"14/07/2015";1;367461;5048242;"7.300.284.868.935.770";"4.557.329.147.910.890";151;36;55;2788,967;328;0;5;0;7;"Oxyria digyna";1166;304;0,4;0
"11";32;"T";1;14;NA;"R";"buco C (eD)";28;"M";"A";"NR";NA;239;2017-08-27;"2017";1;"14/07/2015";1;367461;5048242;"7.300.284.868.935.770";"4.557.329.147.910.890";151;36;55;2788,967;328;0;5;0;7;"Oxyria digyna";1166;304;0,4;0
"11";3;"A";1;2;NA;"N";"D";40;"F";"A";"NR";NA;203;2018-07-22;"2018";1;"14/07/2015";1;367461;5048242;"7.300.284.868.935.770";"4.557.329.147.910.890";151;36;55;2788,967;328;0;5;0;7;"Oxyria digyna";1166;304;0,4;0
"11";85;"A";2;15;NA;"N";NA;21;NA;"G";"NR";NA;248;2016-09-04;"2016";1;"14/07/2015";1;367461;5048242;"7.300.284.868.935.770";"4.557.329.147.910.890";151;36;55;2788,967;328;0;5;0;7;"Oxyria digyna";1166;304;0,4;0
"11";94;"A";2;17;NA;"N";NA;21;"M";"G";"NR";NA;249;2016-09-05;"2016";1;"14/07/2015";1;367461;5048242;"7.300.284.868.935.770";"4.557.329.147.910.890";151;36;55;2788,967;328;0;5;0;7;"Oxyria digyna";1166;304;0,4;0
"11";109;"A";2;14;"1314797";"R";NA;27;"M";"G";"NR";NA;246;2015-09-03;"2015";1;"14/07/2015";1;367461;5048242;"7.300.284.868.935.770";"4.557.329.147.910.890";151;36;55;2788,967;328;0;5;0;7;"Oxyria digyna";1166;304;0,4;0
"11";30;"T";2;1;NA;"N";"SENZA OCCHIO SIN";41;"F";"A";"NR";NA;238;2018-08-26;"2018";1;"14/07/2015";1;367461;5048242;"7.300.284.868.935.770";"4.557.329.147.910.890";151;36;55;2788,967;328;0;5;0;7;"Oxyria digyna";1166;304;0,4;0
"12";53;"A";1;17;NA;"R";"A/B/centro b";NA;"M";"A";"NR";"ripreso dopo 5 min";241;2017-08-29;"2017";1;"14/07/2015";1;367453;5048243;"73.001.821.127.137.900";"45.573.298.950.716.400";82;65;90;2788,297;320;18;30;12,5;14;"Graminacee";1037;298;2,4;1
"12";6;"A";1;6;"1317018";"N";"E";43;"F";"A";"R";NA;198;2015-07-17;"2015";1;"14/07/2015";1;367453;5048243;"73.001.821.127.137.900";"45.573.298.950.716.400";82;65;90;2788,297;320;18;30;12,5;14;"Graminacee";1037;298;2,4;1
"12";133;"T";2;23;"1314797";"R";NA;27;"M";"G";"NR";NA;250;2015-09-07;"2015";1;"14/07/2015";1;367453;5048243;"73.001.821.127.137.900";"45.573.298.950.716.400";82;65;90;2788,297;320;18;30;12,5;14;"Graminacee";1037;298;2,4;1
"12";11;"A";1;4;NA;"N";"E-F";41;"M";"A";"R";NA;204;2018-07-23;"2018";1;"14/07/2015";1;367453;5048243;"73.001.821.127.137.900";"45.573.298.950.716.400";82;65;90;2788,297;320;18;30;12,5;14;"Graminacee";1037;298;2,4;1
"12";30;"T";2;2;NA;"N";"A(dec)/Eg";35;"M";"A";"NR";NA;241;2016-08-28;"2016";1;"14/07/2015";1;367453;5048243;"73.001.821.127.137.900";"45.573.298.950.716.400";82;65;90;2788,297;320;18;30;12,5;14;"Graminacee";1037;298;2,4;1
"12";18;"A";1;8;NA;"N";NA;41;"M";"A";"NR";"morto";206;2018-07-25;"2018";1;"14/07/2015";1;367453;5048243;"73.001.821.127.137.900";"45.573.298.950.716.400";82;65;90;2788,297;320;18;30;12,5;14;"Graminacee";1037;298;2,4;1
"12";2;"A";1;2;NA;NA;NA;NA;NA;NA;NA;NA;204;2016-07-22;"2016";1;"14/07/2015";1;367453;5048243;"73.001.821.127.137.900";"45.573.298.950.716.400";82;65;90;2788,297;320;18;30;12,5;14;"Graminacee";1037;298;2,4;1
"12";72;"T";2;5;"1314797";"R";NA;25;"M";"G";"NR";NA;241;2015-08-29;"2015";1;"14/07/2015";1;367453;5048243;"73.001.821.127.137.900";"45.573.298.950.716.400";82;65;90;2788,297;320;18;30;12,5;14;"Graminacee";1037;298;2,4;1
"12";61;"T";2;3;"1314797";"R";NA;26;"M";"G";"NR";NA;240;2015-08-28;"2015";1;"14/07/2015";1;367453;5048243;"73.001.821.127.137.900";"45.573.298.950.716.400";82;65;90;2788,297;320;18;30;12,5;14;"Graminacee";1037;298;2,4;1
"12";15;"A";1;12;"1313062";"R";NA;44;"M";"A";"R";NA;201;2015-07-20;"2015";1;"14/07/2015";1;367453;5048243;"73.001.821.127.137.900";"45.573.298.950.716.400";82;65;90;2788,297;320;18;30;12,5;14;"Graminacee";1037;298;2,4;1
"13";21;"T";1;15;NA;"N";NA;36;"F";"A";NA;"*era senza pelo vicino alla coda";210;2016-07-28;"2016";1;"14/07/2015";1;367445;5048241;"7.300.080.171.018.730";"4.557.327.943.129.660";142;58;31;2788,767;301;22;5;0;10;"Muschio";782;290;0,4;0
"13";4;"A";1;2;NA;"N";"C";49;"M";"A";"R";NA;203;2018-07-22;"2018";1;"14/07/2015";1;367445;5048241;"7.300.080.171.018.730";"4.557.327.943.129.660";142;58;31;2788,767;301;22;5;0;10;"Muschio";782;290;0,4;0
"13";25;"T";1;15;NA;"N";NA;NA;NA;"G";"NR";NA;202;2015-07-21;"2015";1;"14/07/2015";1;367445;5048241;"7.300.080.171.018.730";"4.557.327.943.129.660";142;58;31;2788,767;301;22;5;0;10;"Muschio";782;290;0,4;0
"13";20;"A";1;14;NA;"N";NA;18;NA;"G";"NR";NA;202;2015-07-21;"2015";1;"14/07/2015";1;367445;5048241;"7.300.080.171.018.730";"4.557.327.943.129.660";142;58;31;2788,767;301;22;5;0;10;"Muschio";782;290;0,4;0
"13";17;"A";1;14;NA;"N";NA;46;"M";"A";NA;NA;210;2016-07-28;"2016";1;"14/07/2015";1;367445;5048241;"7.300.080.171.018.730";"4.557.327.943.129.660";142;58;31;2788,767;301;22;5;0;10;"Muschio";782;290;0,4;0
"13";93;"A";2;17;NA;"R";"C/Dg";29;"M";"A";"NR";"ricatturato dopo 5 min in ID 48";249;2016-09-05;"2016";1;"14/07/2015";1;367445;5048241;"7.300.080.171.018.730";"4.557.327.943.129.660";142;58;31;2788,767;301;22;5;0;10;"Muschio";782;290;0,4;0
"13";43;"T";1;16;NA;"R";"A/B/centro b";29;"M";"A";"NR";NA;240;2017-08-28;"2017";1;"14/07/2015";1;367445;5048241;"7.300.080.171.018.730";"4.557.327.943.129.660";142;58;31;2788,767;301;22;5;0;10;"Muschio";782;290;0,4;0
"13";53;"A";2;2;"1314797";"N";NA;25;"M";"G";"NR";NA;240;2015-08-28;"2015";1;"14/07/2015";1;367445;5048241;"7.300.080.171.018.730";"4.557.327.943.129.660";142;58;31;2788,767;301;22;5;0;10;"Muschio";782;290;0,4;0
"14";29;"A";1;13;NA;"R?";"buco centro e naso";30;"M";"A";"NR";NA;239;2017-08-27;"2017";1;"14/07/2015";1;367438;5048243;"7.299.989.953.853.150";"45.573.296.090.397.000";270;37;35;2788,457;317;10;50;50;21;"Graminacee";800;330;4;4
"14";120;"T";2;17;"1314797";"R";NA;27;"M";"G";"NR";NA;247;2015-09-04;"2015";1;"14/07/2015";1;367438;5048243;"7.299.989.953.853.150";"45.573.296.090.397.000";270;37;35;2788,457;317;10;50;50;21;"Graminacee";800;330;4;4
"14";37;"A";1;18;NA;"N";NA;18;NA;"G";"NR";NA;204;2015-07-23;"2015";1;"14/07/2015";1;367438;5048243;"7.299.989.953.853.150";"45.573.296.090.397.000";270;37;35;2788,457;317;10;50;50;21;"Graminacee";800;330;4;4
"14";92;"A";2;17;NA;"N";NA;23;NA;"G";"NR";NA;249;2016-09-05;"2016";1;"14/07/2015";1;367438;5048243;"7.299.989.953.853.150";"45.573.296.090.397.000";270;37;35;2788,457;317;10;50;50;21;"Graminacee";800;330;4;4
"14";110;"A";2;14;NA;"N";NA;20;"F";"G";"NR";NA;246;2015-09-03;"2015";1;"14/07/2015";1;367438;5048243;"7.299.989.953.853.150";"45.573.296.090.397.000";270;37;35;2788,457;317;10;50;50;21;"Graminacee";800;330;4;4
"14";40;"A";1;15;NA;"N";"A/B/centro b";31;"M";"A";"NR";NA;240;2017-08-28;"2017";1;"14/07/2015";1;367438;5048243;"7.299.989.953.853.150";"45.573.296.090.397.000";270;37;35;2788,457;317;10;50;50;21;"Graminacee";800;330;4;4
"14";93;"A";2;8;"1314797";"R";NA;24;"M";"G";"NR";NA;243;2015-08-31;"2015";1;"14/07/2015";1;367438;5048243;"7.299.989.953.853.150";"45.573.296.090.397.000";270;37;35;2788,457;317;10;50;50;21;"Graminacee";800;330;4;4
"14";24;"T";1;12;NA;"R";"Fg";28;"M";"A";"NR";NA;238;2017-08-26;"2017";1;"14/07/2015";1;367438;5048243;"7.299.989.953.853.150";"45.573.296.090.397.000";270;37;35;2788,457;317;10;50;50;21;"Graminacee";800;330;4;4
"14";88;"T";2;7;"1314797";"R";NA;23;"M";"G";"NR";NA;242;2015-08-30;"2015";1;"14/07/2015";1;367438;5048243;"7.299.989.953.853.150";"45.573.296.090.397.000";270;37;35;2788,457;317;10;50;50;21;"Graminacee";800;330;4;4
"14";126;"T";2;21;"1314797";"R";NA;25;"M";"G";"NR";NA;249;2015-09-06;"2015";1;"14/07/2015";1;367438;5048243;"7.299.989.953.853.150";"45.573.296.090.397.000";270;37;35;2788,457;317;10;50;50;21;"Graminacee";800;330;4;4
"15";20;"A";1;11;NA;"N";"Fg";28;"M";"A";"NR";NA;238;2017-08-26;"2017";1;"14/07/2015";1;367428;5048235;"7.299.864.020.373.830";"45.573.222.207.520.200";94;36;45;2790,556;332;9;10;87,5;15;"Graminacee";1268;83;0,8;7
"15";84;"A";2;15;NA;"R";"C/Dg";30;"M";"A";"NR";NA;248;2016-09-04;"2016";1;"14/07/2015";1;367428;5048235;"7.299.864.020.373.830";"45.573.222.207.520.200";94;36;45;2790,556;332;9;10;87,5;15;"Graminacee";1268;83;0,8;7
"15";123;"T";2;19;NA;"N";NA;23;NA;"G";"NR";NA;248;2015-09-05;"2015";1;"14/07/2015";1;367428;5048235;"7.299.864.020.373.830";"45.573.222.207.520.200";94;36;45;2790,556;332;9;10;87,5;15;"Graminacee";1268;83;0,8;7
"15";19;"A";1;14;NA;"N";"A/C";46;"M";"A";"R";NA;202;2015-07-21;"2015";1;"14/07/2015";1;367428;5048235;"7.299.864.020.373.830";"45.573.222.207.520.200";94;36;45;2790,556;332;9;10;87,5;15;"Graminacee";1268;83;0,8;7
"15";10;"A";1;12;NA;"N";NA;33;"F";NA;NA;NA;209;2016-07-27;"2016";1;"14/07/2015";1;367428;5048235;"7.299.864.020.373.830";"45.573.222.207.520.200";94;36;45;2790,556;332;9;10;87,5;15;"Graminacee";1268;83;0,8;7
"15";106;"T";2;9;NA;"N";NA;NA;NA;"G";"NR";NA;243;2015-08-31;"2015";1;"14/07/2015";1;367428;5048235;"7.299.864.020.373.830";"45.573.222.207.520.200";94;36;45;2790,556;332;9;10;87,5;15;"Graminacee";1268;83;0,8;7
"15";18;"A";1;14;NA;"N";NA;32;"F";NA;NA;NA;210;2016-07-28;"2016";1;"14/07/2015";1;367428;5048235;"7.299.864.020.373.830";"45.573.222.207.520.200";94;36;45;2790,556;332;9;10;87,5;15;"Graminacee";1268;83;0,8;7
"15";52;"A";1;17;NA;"R";"centro basso buco";NA;"M";"A";"R";"morto nel pomeriggio";241;2017-08-29;"2017";1;"14/07/2015";1;367428;5048235;"7.299.864.020.373.830";"45.573.222.207.520.200";94;36;45;2790,556;332;9;10;87,5;15;"Graminacee";1268;83;0,8;7
"16";29;"A";1;16;"1317018";"R";"E";31;"F";"A";"R";NA;203;2015-07-22;"2015";1;"14/07/2015";1;367419;5048242;"72.997.468.242.414.900";"45.573.283.469.885.300";120;50;22;2788,876;329;14;20;50;9;"Graminacee";553;148;1,6;4
"16";27;"A";1;10;"1313426";"R";NA;17;"F";"G";"NR";NA;248;2014-09-05;"2014";1;"14/07/2015";1;367419;5048242;"72.997.468.242.414.900";"45.573.283.469.885.300";120;50;22;2788,876;329;14;20;50;9;"Graminacee";553;148;1,6;4
"16";40;"T";2;4;NA;"N";NA;33;"M";"A";"NR";NA;242;2016-08-29;"2016";1;"14/07/2015";1;367419;5048242;"72.997.468.242.414.900";"45.573.283.469.885.300";120;50;22;2788,876;329;14;20;50;9;"Graminacee";553;148;1,6;4
"16";67;"A";2;4;"1313807";"R";NA;29;"F";"A";"R";NA;241;2015-08-29;"2015";1;"14/07/2015";1;367419;5048242;"72.997.468.242.414.900";"45.573.283.469.885.300";120;50;22;2788,876;329;14;20;50;9;"Graminacee";553;148;1,6;4
"16";6;"T";1;9;"1315467";"R";NA;NA;"F";"A";"NR";NA;207;2016-07-25;"2016";1;"14/07/2015";1;367419;5048242;"72.997.468.242.414.900";"45.573.283.469.885.300";120;50;22;2788,876;329;14;20;50;9;"Graminacee";553;148;1,6;4
"16";20;"A";1;10;NA;NA;NA;18;"M";"G";"NR";NA;248;2014-09-05;"2014";1;"14/07/2015";1;367419;5048242;"72.997.468.242.414.900";"45.573.283.469.885.300";120;50;22;2788,876;329;14;20;50;9;"Graminacee";553;148;1,6;4
"16";4;"A";1;8;NA;"N";"Eb/Fg";42;"M";"A";"R";NA;207;2016-07-25;"2016";1;"14/07/2015";1;367419;5048242;"72.997.468.242.414.900";"45.573.283.469.885.300";120;50;22;2788,876;329;14;20;50;9;"Graminacee";553;148;1,6;4
"16";36;"A";1;18;"1313062";"R";NA;43;"M";"A";"R";NA;204;2015-07-23;"2015";1;"14/07/2015";1;367419;5048242;"72.997.468.242.414.900";"45.573.283.469.885.300";120;50;22;2788,876;329;14;20;50;9;"Graminacee";553;148;1,6;4
"16";19;"A";1;11;NA;"N";"A/Bb";25;"F";"G";"NR";NA;238;2017-08-26;"2017";1;"14/07/2015";1;367419;5048242;"72.997.468.242.414.900";"45.573.283.469.885.300";120;50;22;2788,876;329;14;20;50;9;"Graminacee";553;148;1,6;4
"16";54;"T";2;10;NA;"R";"C/Dg";35;"M";"A";"NR";NA;245;2016-09-01;"2016";1;"14/07/2015";1;367419;5048242;"72.997.468.242.414.900";"45.573.283.469.885.300";120;50;22;2788,876;329;14;20;50;9;"Graminacee";553;148;1,6;4
"16";55;"A";2;2;NA;"N";NA;18;NA;"G";"NR";NA;240;2015-08-28;"2015";1;"14/07/2015";1;367419;5048242;"72.997.468.242.414.900";"45.573.283.469.885.300";120;50;22;2788,876;329;14;20;50;9;"Graminacee";553;148;1,6;4
"17";28;"A";2;1;NA;"N";NA;NA;NA;"A";NA;"in fin di vita";241;2016-08-28;"2016";1;"14/07/2015";1;367411;5048239;"7.299.645.154.322.730";"45.573.254.953.103.200";110;63;51;2788,526;0;10;55;25;21;"Salix herbacea";911;108;4,4;2
"17";25;"A";1;10;NA;"R";"E-F";38;"M";"A";"R";"morto";208;2018-07-27;"2018";1;"14/07/2015";1;367411;5048239;"7.299.645.154.322.730";"45.573.254.953.103.200";110;63;51;2788,526;0;10;55;25;21;"Salix herbacea";911;108;4,4;2
"17";25;"T";1;12;NA;"R";"A/Bb";23;"F";"G";"NR";NA;238;2017-08-26;"2017";1;"14/07/2015";1;367411;5048239;"7.299.645.154.322.730";"45.573.254.953.103.200";110;63;51;2788,526;0;10;55;25;21;"Salix herbacea";911;108;4,4;2
"18";50;"A";1;17;NA;"R";"A/B/centro b";28;"M";"A";"NR";NA;241;2017-08-29;"2017";1;"14/07/2015";1;367403;5048242;"7.299.541.854.893.780";"4.557.328.041.808.620";67;64;105;2785,836;345;12;5;62,5;11;"Graminacee";775;89;0,4;5
"18";121;"T";2;17;"1313807";"R";NA;29;"F";"A";"R";NA;247;2015-09-04;"2015";1;"14/07/2015";1;367403;5048242;"7.299.541.854.893.780";"4.557.328.041.808.620";67;64;105;2785,836;345;12;5;62,5;11;"Graminacee";775;89;0,4;5
"18";127;"T";2;21;NA;"N";NA;29;"M";"A";"NR";NA;249;2015-09-06;"2015";1;"14/07/2015";1;367403;5048242;"7.299.541.854.893.780";"4.557.328.041.808.620";67;64;105;2785,836;345;12;5;62,5;11;"Graminacee";775;89;0,4;5
"18";21;"A";1;10;"1313426";"N";NA;19;"F";"G";"NR";NA;248;2014-09-05;"2014";1;"14/07/2015";1;367403;5048242;"7.299.541.854.893.780";"4.557.328.041.808.620";67;64;105;2785,836;345;12;5;62,5;11;"Graminacee";775;89;0,4;5
"19";10;"A";1;4;NA;"N";"B";38;"M";"A";"R";NA;204;2018-07-23;"2018";1;"14/07/2015";1;367395;5048240;"7.299.439.913.470.600";"4.557.326.089.809.840";51;105;66;2784,286;325;0;55;37,5;24;"Graminacee";1212;103;4,4;3
"19";9;"A";1;8;NA;"N";"D";18;NA;"G";"NR";NA;199;2015-07-18;"2015";1;"14/07/2015";1;367395;5048240;"7.299.439.913.470.600";"4.557.326.089.809.840";51;105;66;2784,286;325;0;55;37,5;24;"Graminacee";1212;103;4,4;3
"19";26;"T";1;11;NA;"R";"E-F";31;"F";"A";"R";NA;209;2018-07-28;"2018";1;"14/07/2015";1;367395;5048240;"7.299.439.913.470.600";"4.557.326.089.809.840";51;105;66;2784,286;325;0;55;37,5;24;"Graminacee";1212;103;4,4;3
"19";4;"A";1;6;"1313062";"R";NA;44;"M";"A";"R";NA;198;2015-07-17;"2015";1;"14/07/2015";1;367395;5048240;"7.299.439.913.470.600";"4.557.326.089.809.840";51;105;66;2784,286;325;0;55;37,5;24;"Graminacee";1212;103;4,4;3
"19";100;"T";2;9;"1314797";"R";NA;23;"M";"G";"NR";NA;243;2015-08-31;"2015";1;"14/07/2015";1;367395;5048240;"7.299.439.913.470.600";"4.557.326.089.809.840";51;105;66;2784,286;325;0;55;37,5;24;"Graminacee";1212;103;4,4;3
"19";73;"T";2;5;"1314106";"R";NA;35;"M";"A";"R";NA;241;2015-08-29;"2015";1;"14/07/2015";1;367395;5048240;"7.299.439.913.470.600";"4.557.326.089.809.840";51;105;66;2784,286;325;0;55;37,5;24;"Graminacee";1212;103;4,4;3
